Unnamed: 0.1;Unnamed: 0;Educational Year;Country;Region;Location Name;Location Address;Teachers;Completed Date;SKU;Product Name;Product Variation;Category;Email;Phone;Parent Full Name;Parent Last Name;Parent Occupation;Where do you work?(parent);How did you find us?;StudentID;Student Name;Student Age;Student Birthday;Student First Name;Student Gender;Student Preferred Language;Student Current School;Student Experience;Student Diet;Remarks;Address 1&2;Postcode;City;Country Name;Order ID;Payment Method Title;Order Status;Cart Discount Amount;Order Total Amount;Customer Note;Order Number;Order Subtotal Amount;Order Status.1;Order Date;Item Name;Item Quantity;Coupon Code;Number of coupons used;Payment Method Title.1;Payment Method;Item Cost Before Discount;Item Cost;Item Discount Amount;Educational Years;Period;PostCodes
10;10;2022-2023;NL;Virginia;Jimenez, Valenzuela and Berger | CoderMinds;PSC 4051, Box 2764, APO AP 93860;Michael Barnes;YYYY-27-DD 01:27:SS;NLVi01-20230808-CC;Bright Minds;City: Derekstad | Address: 7913 Ashley Club, Maynardville, HI 76754;;cramsey@gmail.com;8090867777;Ethan Odom;West;Television floor manager;Gilbert, Baker and Jones;Word of mouth;STDID-11;Sean Garcia;10;2013-10-03;Sean;male;Dutch;Middle School;Grow soldier let guy.;Vegan;Activity benefit affect allow big what change mean.;505 Wood Views Apt. 997, Christophertown, TX 23528;74958;West Jonathanstad;Timor-Leste;5aafdbe6-9604-46f1-92d9-7caa5052cb70;PayPal;Processing;10,56;444,26;Less set forget occur treat.;65653;433,7;Processing;YYYY-27-DD 01:27:SS;Bright Minds;4;cdm61631;0;PayPal;mollie_wc_gateway_paypal;2,950,271,027;2,570,335,883;3,799,351,446;;3.0;1021 AK
11;11;2021-2022;FR;Idaho;Hart-Quinn | CoderMinds;21726 Jackie Parkways Suite 202, Howardview, AK 97585;Patricia Perkins;YYYY-57-DD 16:57:SS;FRId01-20240119-CC;Bright Minds;City: Allisonside | Address: 33001 Gregory Islands, Chenville, DC 36420;;joshua44@yahoo.com;001-875-024-0387x4015;Holly Lee;Turner;Engineer, production;Tran Group;Online;STDID-12;Francisco Madden;14;2010-02-03;Francisco;male;English;High School;Which serve partner return suffer plant begin standard.;Gluten-free;Road school another too.;3649 Lindsay Manors Suite 842, New Andre, MT 38430;15166;Clarkside;Antarctica (the territory South of 60 deg S);7326c2d5-f6a0-426f-a5f2-72c0cd72a3b6;Credit Card;Cancelled;27,5;493,08;Personal bar performance hour light choose.;14805;465,58;Cancelled;YYYY-57-DD 16:57:SS;Bright Minds;2;cdm36508;0;PayPal;mollie_wc_gateway_paypal;1,558,095,402;1,395,483,039;162,612,363;2014-2015;4.0;1022 AL
12;12;2023-2024;ES;Texas;Thomas Inc | CoderMinds;11816 Jeanette Summit Suite 807, East Lisabury, CO 94104;Stephanie Monroe;YYYY-33-DD 06:33:SS;ESTe01-20230326-CC;Spring Break Coder-Camp 2024;City: Port Clairemouth | Address: 8917 David Junction Suite 930, Randolphbury, NM 49040;;kjohnson@hotmail.com;001-414-350-1107;Elizabeth Dixon;Becker;Architectural technologist;Robinson-Todd;Online;STDID-13;Amanda Horton;7;2017-01-02;Amanda;female;Dutch;Middle School;How fire hot win.;Vegetarian;Main program lot.;033 Salinas Route Suite 671, East Jennifer, WV 99792;44852;Lake Rebecca;Martinique;340efb16-a3c7-44db-9ba0-4f26d2578fc2;iDEAL;Processing;22,2;444,17;Occur mouth time type fear girl.;36435;421,97;Processing;YYYY-33-DD 06:33:SS;Spring Break Coder-Camp 2024;5;cdm35430;0;PayPal;mollie_wc_gateway_paypal;4,130,887,928;3,534,527,169;5,963,607,587;2018;4.0;1023 AM
13;13;2022-2023;NL;Michigan;Mora Group | CoderMinds;964 Atkinson Brook Apt. 742, North Justin, MT 72298;Willie Rogers;YYYY-47-DD 23:47:SS;NLMi01-20230623-CC;Regular Course;City: North Jacobton | Address: 175 Russell Land Suite 355, Kathyshire, ND 98006;;bcampbell@gmail.com;492-161-1756x96102;Ronald Richardson;Andrews;Amenity horticulturist;Torres PLC;Word of mouth;STDID-14;Mia Williams;12;2011-11-29;Mia;female;English;High School;On food what control memory ask fact.;Vegan;Modern human public effect cultural see whatever.;227 Jessica Squares, Port Frank, ND 95873;48885;Brittanyberg;Reunion;509c6716-045b-498e-a6e6-259f22cbeea9;Bank Transfer;Completed;39,34;409,44;Possible education participant yard skin ask listen full.;67066;370,1;Completed;YYYY-47-DD 23:47:SS;Regular Course;1;cdm96867;0;Credit Card;mollie_wc_gateway_credit_card;243,092,971;2,300,858,722;1,300,709,884;2020-2021;4.0;1024 AN
14;14;2021-2022;US;Tennessee;Scott-Young | CoderMinds;387 Rebecca Springs, Bensonstad, WI 66817;Leslie Bradley;YYYY-32-DD 03:32:SS;USTe01-20230702-CC;Workshop;City: Cynthiafurt | Address: 891 Amanda Overpass Suite 804, Lake Brandon, NH 98985;;rlopez@mitchell-stevenson.net;5960068251;Megan Smith;Curtis;Scientific laboratory technician;Vazquez-Gomez;Online;STDID-15;Adrian Castro;15;2008-08-13;Adrian;male;French;High School;Minute race left fly partner ahead sing.;;Door huge avoid other might century establish anyone.;63942 Griffin Harbor, West Heatherport, NV 68890;20005;Jonesbury;Guatemala;69d735d1-5973-46f1-8623-f9229ca1db81;PayPal;Cancelled;47,39;289,06;It event guess ago listen garden.;5663;241,67;Cancelled;YYYY-32-DD 03:32:SS;Workshop;4;cdm98060;2;PayPal;mollie_wc_gateway_paypal;193,721,429;1,734,085,758;2,031,285,319;2014-2015;3.0;1025 AO
15;15;2023-2024;US;Rhode Island;Myers-Garcia | CoderMinds;37075 Torres Mount Apt. 833, East Stephanie, MN 31633;Alexander Young;YYYY-12-DD 22:12:SS;USRh01-20230710-CC;Workshop;City: Garyton | Address: 558 Simon Lake, Wallaceport, NJ 84155;;michael17@gmail.com;900-003-9967x981;Matthew Vazquez;Rogers;Amenity horticulturist;Wilson, Miller and Lewis;Advertisement;STDID-16;Michelle Johnson;15;2008-11-05;Michelle;female;German;Middle School;Fish street score list exactly thing recognize ask.;Gluten-free;Phone leave bad case better her.;222 Lane Freeway, Lake Alison, OK 85017;55358;North Ashley;Bulgaria;e67b0896-03b8-4e40-8398-33c6622bb4c1;PayPal;Cancelled;44,69;463,31;Husband hold free.;49054;418,62;Cancelled;YYYY-12-DD 22:12:SS;Workshop;5;cdm50963;1;PayPal;mollie_wc_gateway_paypal;214,159,719;1,848,438,183;2,931,590,062;2013;2.0;1026 AP
16;16;2023-2024;DE;Wyoming;Moreno PLC | CoderMinds;33857 Alexis Viaduct, Foxstad, CA 68740;James Morrison;YYYY-53-DD 09:53:SS;DEWy01-20230624-CC;Spring Break Coder-Camp 2024;City: South Edward | Address: 89773 Brian Bypass, West Tylerstad, GA 92013;;samanthajones@gmail.com;960.091.7563x60724;Mark Chandler;Mcdonald;Adult guidance worker;Johns Group;Advertisement;STDID-17;Johnny Foster;13;2010-07-13;Johnny;male;Spanish;High School;While population attack present stock mission.;Vegan;Social social you form.;PSC 2334, Box 1528, APO AA 74607;29652;Port Jake;South Georgia and the South Sandwich Islands;dd5e97e4-8e4a-4111-abe1-222845c5c58c;Credit Card;Completed;5,78;358,05;Capital suggest teach.;181;352,27;Completed;YYYY-53-DD 09:53:SS;Spring Break Coder-Camp 2024;3;cdm89991;1;Credit Card;mollie_wc_gateway_credit_card;1,821,350,378;1,546,056,928;27,529,345;2017;1.0;1027 AQ
17;17;2023-2024;US;Mississippi;Brooks Ltd | CoderMinds;65257 Chelsea Cove Suite 191, North Keith, WA 97478;William Franco;YYYY-20-DD 04:20:SS;USMi01-20231023-CC;Spring Break Coder-Camp 2024;City: Robinville | Address: 371 Jacqueline Forges, Jenniferchester, NY 38264;;nelsonmolly@perry.biz;001-266-528-0756x35322;Kelly White;Hall;Banker;Lane-York;Word of mouth;STDID-18;David Dunn;18;2005-04-07;David;male;Spanish;Elementary School;Success among yeah range although hospital stuff.;Vegetarian;Guy heart actually.;3576 Steele Creek, Leestad, AL 75092;73711;Brownfurt;Mexico;d32e9054-1af5-4f2c-b23c-6cb1c1720f84;iDEAL;Completed;16,33;244,7;Authority receive can society event.;21376;228,37;Completed;YYYY-20-DD 04:20:SS;Spring Break Coder-Camp 2024;4;cdm61293;0;iDEAL;mollie_wc_gateway_ideal;1,634,172,748;1,316,946,248;3,172,264,998;;2.0;1028 AR
18;18;2023-2024;DE;Tennessee;Peterson-Evans | CoderMinds;50072 Darlene Ferry, Vickieport, NJ 91564;Mr. Mark Castaneda DVM;YYYY-27-DD 01:27:SS;DETe01-20240114-CC;Bright Minds;City: Antoniofurt | Address: 65038 Brown Summit, Port Lauraburgh, NV 33369;;qlynch@hotmail.com;(043)405-6230x9555;David Campbell;Lawson;Chartered public finance accountant;Roberts, Walker and Vance;Online;STDID-19;Julie Jones;14;2009-05-02;Julie;female;English;Middle School;Health public three senior.;Vegetarian;Property news few.;54099 Li Turnpike Apt. 139, North Chad, UT 38653;95814;South David;Cuba;6bd2f633-209e-49a2-aaa0-c915ba2e7e91;Bank Transfer;Completed;11,29;240,96;Indeed college radio much forward fast.;72032;229,67;Completed;YYYY-27-DD 01:27:SS;Bright Minds;5;cdm83169;0;Credit Card;mollie_wc_gateway_credit_card;2,528,656,748;2,138,086,425;390,570,323;2021;2.0;1029 AS
19;19;2022-2023;DE;Maine;Johnson, Crawford and Hardin | CoderMinds;USNV Griffin, FPO AA 90430;Sandra Cox;YYYY-45-DD 12:45:SS;DEMa01-20230907-CC;Workshop;City: North David | Address: 45222 Rodriguez Station Apt. 729, Thomastown, MI 96225;;debraoconnor@harris.com;5164741191;Susan Jackson;Hardy;Warden/ranger;Jones and Sons;Word of mouth;STDID-20;Lori Taylor;7;2016-11-14;Lori;female;Dutch;High School;Run than individual various tell call.;Vegetarian;Attorney large six per.;447 Bailey Gardens Apt. 459, Heatherbury, ME 83680;32180;Brentside;Czech Republic;98adbd7f-5795-4997-8d3d-c501aae567c0;Credit Card;Processing;7,09;240,11;Own bill benefit national across.;20830;233,02;Processing;YYYY-45-DD 12:45:SS;Workshop;1;cdm31508;0;PayPal;mollie_wc_gateway_paypal;3,903,296,981;3,265,589,599;6,377,073,824;2012-2014;3.0;1030 AT
20;20;2023-2024;ES;New Hampshire;Coleman, Mann and Perez | CoderMinds;5028 Curry Rue, Paulaport, WI 52500;Andrea Sanchez;YYYY-59-DD 22:59:SS;ESNe01-20230419-CC;Spring Break Coder-Camp 2024;City: Palmerland | Address: 463 Kristen Meadow, Christopherport, NE 41475;;nrogers@yahoo.com;(482)785-9505;Stephanie Mann;Ferguson;Immigration officer;Robinson Ltd;Advertisement;STDID-21;Michelle Knight;10;2013-10-14;Michelle;female;Dutch;Elementary School;Inside community adult do throw draw Republican.;Vegetarian;Serve even hospital.;534 Morton Views, Petersville, CT 13194;61177;East Seanville;British Virgin Islands;613dcd37-acc8-4042-a08e-40bfffdc19e2;iDEAL;Cancelled;45,5;170,01;Tell manage moment activity but not.;73761;124,51;Cancelled;YYYY-59-DD 22:59:SS;Spring Break Coder-Camp 2024;2;cdm23480;2;PayPal;mollie_wc_gateway_paypal;416,905,964;3,664,946,531;5,041,131,091;;4.0;1031 AU
21;21;2023-2024;DE;Nebraska;Wilson Ltd | CoderMinds;561 Golden Groves Suite 126, New Deanna, WI 23946;Andrea Simpson;YYYY-48-DD 00:48:SS;DENe01-20230621-CC;Regular Course;City: New Jonathan | Address: 056 Jeremiah Cliff Suite 766, Blakeland, MD 67534;;bbutler@gmail.com;506-552-1785;Tammy George;Abbott;Research officer, trade union;Greene, Thompson and James;Word of mouth;STDID-22;Sandra Johnson;13;2011-01-11;Sandra;female;Dutch;High School;Reason for political crime purpose radio else.;Vegetarian;Discuss recently sure gun.;PSC 1981, Box 2767, APO AP 37419;18214;Hallshire;Australia;0b21dc8b-2e0b-4498-a293-0f0b7953d27d;iDEAL;Cancelled;31,03;200,61;Whether decide fear toward factor hard also.;1808;169,58;Cancelled;YYYY-48-DD 00:48:SS;Regular Course;2;cdm92851;1;iDEAL;mollie_wc_gateway_ideal;109,932,844;9,958,180,206;1,035,104,199;2021-2023;4.0;1032 AV
22;22;2021-2022;NL;Wyoming;Freeman-Reynolds | CoderMinds;5217 Randy Drive Apt. 690, Sancheztown, NJ 08407;Brian Brown;YYYY-42-DD 20:42:SS;NLWy01-20230926-CC;Regular Course;City: Lake Nathan | Address: 071 Morrison Viaduct, Lake Timothy, WV 86274;;poolebrianna@rogers.org;768.913.9682x7167;Jaime Baker;Rush;Probation officer;Watson-Allen;Online;STDID-23;Melissa Gomez;6;2017-12-02;Melissa;female;German;Elementary School;Race clear boy piece age assume.;Vegan;With himself I see.;13863 Mcdowell Hills, Smithshire, ND 68950;85825;West Brandonmouth;Mexico;0515dedb-de94-4745-a9b5-d76f15219e9e;Credit Card;Completed;27,47;192,31;Parent seven include kind.;40975;164,84;Completed;YYYY-42-DD 20:42:SS;Regular Course;2;cdm76345;2;iDEAL;mollie_wc_gateway_ideal;4,738,873,641;4,214,288,175;5,245,854,657;2020;2.0;1033 AW
23;23;2022-2023;NL;North Dakota;Valdez-Davidson | CoderMinds;96421 Matthew Park Suite 530, Lake Brianastad, NM 41253;David Roberson;YYYY-54-DD 09:54:SS;NLNo01-20230516-CC;Spring Break Coder-Camp 2024;City: South Charles | Address: PSC 3504, Box 4541, APO AE 87852;;jameswatson@anderson.net;1-257-545-9385x64733;Heather Kirby;Robbins;Museum/gallery curator;Butler, Sanchez and Robertson;Online;STDID-24;Phillip Osborn;7;2016-04-02;Phillip;male;English;Elementary School;I home available school will.;Gluten-free;Learn describe manager employee understand across.;6724 Smith Centers, Port Kathleen, MN 63483;10210;North Kevin;Armenia;2bdcf403-b354-4970-91de-f3bb0a1f12bf;iDEAL;Completed;26,01;153,14;Three left picture.;79470;127,13;Completed;YYYY-54-DD 09:54:SS;Spring Break Coder-Camp 2024;5;cdm17418;1;iDEAL;mollie_wc_gateway_ideal;1,755,568,076;1,602,992,014;1,525,760,624;2010-2011;1.0;1034 AX
24;24;2023-2024;NL;New Hampshire;Hanson, Taylor and Clay | CoderMinds;2466 Williams Burgs, South Jenniferton, IL 53558;Misty Payne;YYYY-09-DD 14:09:SS;NLNe01-20230721-CC;Workshop;City: East Leslie | Address: 2114 Leah Falls Suite 061, Heatherhaven, NH 34861;;vgraham@yahoo.com;224.387.8519x76047;Angela King;Cruz;Oncologist;Thompson Group;Advertisement;STDID-25;Catherine Daniels;8;2015-07-02;Catherine;female;Dutch;Middle School;Several future ball name.;Vegetarian;Customer site understand my concern support.;0658 Daisy Brook, East Saramouth, DE 05151;81087;Elizabethland;Saint Vincent and the Grenadines;60d34c8a-6f32-4fb5-8991-198972a1b78d;iDEAL;Cancelled;49,63;131,56;Eye city long upon.;96625;81,93;Cancelled;YYYY-09-DD 14:09:SS;Workshop;2;cdm28796;2;Credit Card;mollie_wc_gateway_credit_card;4,242,333,345;4,118,912,198;1,234,211,476;14;1.0;1035 AY
25;25;2023-2024;NL;North Carolina;Patel-Clark | CoderMinds;80119 Catherine Green Apt. 608, South Austin, AL 20157;Crystal Turner;YYYY-43-DD 07:43:SS;NLNo01-20231107-CC;Regular Course;City: Lake Richard | Address: 124 Nichols Gateway, East Kim, DC 52776;;yjames@mason.com;1-063-850-2522x67859;Richard Ryan;Sanders;Insurance underwriter;Dominguez, Frye and Harvey;Advertisement;STDID-26;Dawn Wang;14;2009-11-02;Dawn;female;Dutch;Elementary School;Pattern beyond possible explain begin law message piece.;;Would ahead concern per.;7567 John Bypass, Birdmouth, NV 40151;33228;Russellchester;Norfolk Island;d630dc03-5173-45e8-9fd3-63b3b1bbf027;Bank Transfer;Cancelled;36,14;442,5;He thus program however personal.;4296;406,36;Cancelled;YYYY-43-DD 07:43:SS;Regular Course;3;cdm33772;2;PayPal;mollie_wc_gateway_paypal;1,318,123,521;1,085,047,687;2,330,758,341;2018;1.0;1036 AZ
26;26;2023-2024;ES;New York;Stark, Jackson and Bailey | CoderMinds;80490 Melissa Ways Apt. 888, Theresaland, AZ 53429;Danielle Marquez;YYYY-55-DD 13:55:SS;ESNe01-20231230-CC;Bright Minds;City: North Kennethberg | Address: 207 Jennifer Flat, South Madelineberg, WY 98139;;hbennett@hughes.com;384.065;Benjamin Bright;Garcia;Health and safety adviser;Hamilton, Rodgers and Clark;Online;STDID-27;Susan Phillips;16;2007-05-19;Susan;female;Dutch;Middle School;Region most skill reality TV smile me.;Gluten-free;Laugh drug church young.;PSC 0167, Box 1783, APO AE 89924;99598;Martinburgh;Niue;765e3314-75f1-4165-a799-1ab9e831fcba;PayPal;Cancelled;12,48;463,16;Nearly any management suggest health.;67055;450,68;Cancelled;YYYY-55-DD 13:55:SS;Bright Minds;2;cdm16272;1;Credit Card;mollie_wc_gateway_credit_card;4,247,181,321;3,995,358,968;2,518,223,537;2014;2.0;1037 BA
